,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000069,30.1909871800514,-0.0224896368061465,0.0715019868524641,0.287862033983651,0.44187280528357
WBGene00000070,348.817373546936,-0.0134728156053376,0.0475017541888267,0.700273069178019,0.805979357368627
WBGene00000071,301.737446076833,0.00404608254403595,0.0560485982626975,0.90463060041191,0.941379402901347
WBGene00000072,131.691992021467,-0.0222170261619791,0.0600158895243607,0.513119332224594,0.656834936503424
WBGene00000073,1015.37346279807,-0.0191416564323605,0.0333914880748659,0.499266107711175,0.646243987233099
WBGene00000074,1651.34367807057,-0.00921051398181431,0.0315566121302557,0.759688674481516,0.847206796750358
WBGene00000075,1132.44221325957,0.046230955027253,0.0437661097981,0.183841528158761,0.320504894148468
WBGene00000079,5801.48938137068,0.0447297871450536,0.0287109171657832,0.0806848472511493,0.175859591402286
WBGene00000080,4811.12618331727,0.0521145342993336,0.0247417770730859,0.0239873860553377,0.0730212536517818
WBGene00000081,4601.67204616078,-0.0388950367294394,0.0304389608545483,0.153377901559326,0.28108067014949
WBGene00000082,74.6538180071724,-0.0122150110429217,0.0625700203540593,0.680530093639315,0.789822915769538
WBGene00000083,1243.27756522134,-0.0526039523317468,0.0435219165062262,0.132303842012999,0.253125077516235
WBGene00000084,403.983806856007,0.0404456483588073,0.0486493208519697,0.268315664707318,0.420850392780283
WBGene00000086,301.543528845863,-0.101196063892488,0.0652877177492223,0.0268360193592821,0.0794355978385508
WBGene00000088,503.30346506436,-0.218335681853456,0.0652204003590253,8.89826180379108e-05,0.00115662517240697
WBGene00000089,174.550730645408,-0.0248313724449268,0.0612579131215594,0.465577008232719,0.616362902738485
WBGene00000090,5907.05893282062,0.0437923293256804,0.0232922047172107,0.0455524783099739,0.116322148119362
WBGene00000092,1098.64035443222,0.0318754520134314,0.0344005476461221,0.287691420439531,0.441726627782185
WBGene00000093,940.955914469339,0.118089475337181,0.041464966875378,0.000998501518348935,0.00706582003530773
WBGene00000094,1671.07065284487,0.0595442365897525,0.0339062734754466,0.050478964928307,0.125442550498603
WBGene00000095,923.305112895136,0.0209815995211975,0.0373533959770752,0.489892113948308,0.638317408624645
WBGene00000097,1926.41397795261,0.0281061348369008,0.0318419247140712,0.307499203345507,0.46255131411912
WBGene00000098,9706.17313762495,0.114548423863048,0.0252440329063218,4.38320092423659e-06,0.000110750585535974
WBGene00000099,3920.2431076333,0.0447069312179384,0.0274001124664705,0.0754683188061968,0.167503484309233
WBGene00000100,3719.78905118323,-0.119569688547065,0.0247850854006396,3.51759423943902e-07,1.36922091686512e-05
WBGene00000101,16040.6382211645,0.0582095411061666,0.0183260856268258,0.000907013677051186,0.00652063853684829
WBGene00000102,10182.8880429411,0.0271282412006948,0.0174343023971322,0.107505135603366,0.217799557313352
WBGene00000103,693.555194677866,-0.198085757602624,0.0574084700506625,5.43849639892007e-05,0.000782395009132097
WBGene00000105,2392.79507539643,-0.0458383086601049,0.0378636483171011,0.152992912746199,0.280613292063991
WBGene00000106,4234.68343519489,0.0423945099998963,0.0241900967447357,0.0587058106677421,0.140111345585578
WBGene00000107,10216.5642097774,-0.0108946006445823,0.0202896574560321,0.375298267213328,0.531419722484067
WBGene00000109,3629.60791230982,-0.016534391633298,0.0228563493266573,0.44470618599563,0.597880011780724
WBGene00000110,6474.40936630195,-0.0352151386743846,0.0216462366703768,0.0856416569456088,0.183601147761083
WBGene00000111,321.621606371939,-0.26210725535963,0.0760932834484791,3.91595832845759e-05,0.000602834345053056
WBGene00000112,3156.21666222693,0.0275878862559217,0.0228133620269813,0.195740326126673,0.333533075753113
WBGene00000113,1334.04643856283,0.0215598741162386,0.0311852824643209,0.435787474679543,0.590048444499683
WBGene00000114,30237.0201303881,-0.0399433958876912,0.0287097677792605,0.12236473922696,0.238864654507287
WBGene00000115,5422.67624313636,-0.0165554221426795,0.0276969242812752,0.514340116496528,0.657937095630909
WBGene00000116,436.994570247353,-0.0219075871572407,0.0456955902467551,0.531452179452459,0.671935539413068
WBGene00000117,2059.30629652891,0.0453566243341275,0.028098185423623,0.077276496894004,0.170430761989748
