,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000244,33.2337589962627,0.0206815788332784,0.0791777033662257,0.271282817402132,0.566879584563814
WBGene00000245,697.756103743887,-0.0186655125277049,0.0542202076383634,0.634823377194333,0.840566509402695
WBGene00000246,76.6276068075569,-0.0123652060558969,0.0745734917352994,0.604586307284611,0.823181660780517
WBGene00000247,979.507677091831,0.0476270987157468,0.054428136017474,0.246623896778872,0.536790825917049
WBGene00000248,1932.11471912045,0.020985322454227,0.0376646243348946,0.533365850403028,0.783776763403853
WBGene00000249,918.432088185332,-0.0170079895098188,0.0494677572861744,0.656619841790729,0.852222359227072
WBGene00000250,1142.75367765746,-0.0647272640341891,0.0526247309052012,0.113143894572446,0.345846262439682
WBGene00000251,386.581734553683,-0.0787475288305822,0.08160329475046,0.0991559433289563,0.320146353821847
WBGene00000252,440.879690033604,0.0980676214188348,0.083027032535735,0.0564189969805576,0.225771063617288
WBGene00000253,1087.06285826593,-0.0208658581106719,0.0458372180647236,0.575642042015022,0.807438555433253
WBGene00000254,7947.30796925478,-0.028133975702754,0.0214474758419058,0.171736164603581,0.440496371762148
WBGene00000255,53.6276059816955,-0.0408340975653383,0.0889957699434185,0.0977487115273548,0.317435039248848
WBGene00000256,7194.93366900902,-0.314774871366944,0.0252102132438523,7.25857456360254e-37,1.59748136912072e-34
WBGene00000257,3638.76298709158,-0.0435224059637603,0.0311060438555588,0.125603174288328,0.367769381640306
WBGene00000259,1354.44873828705,-0.0430764804247409,0.0449217741614826,0.244321210007951,0.534813671018546
WBGene00000262,69.7780558761626,-0.0136299845984624,0.0752095593396092,0.561237913498767,0.798665440518862
WBGene00000263,4530.53262163465,0.105194001699692,0.0289177812054023,9.76053794825538e-05,0.00149413023894331
WBGene00000264,1319.35749001026,0.00130692708809084,0.0420934560562234,0.970971164659413,0.990222416100928
WBGene00000265,1504.33610676958,-0.028753628123642,0.041050173647018,0.415863982294005,0.699270285858844
WBGene00000266,748.596439272781,0.0227295018145193,0.0538093951547407,0.565213786047697,0.800706368839938
WBGene00000267,178.200833573523,-0.00234839184995691,0.0681680381784341,0.942210661318818,0.979341756596867
WBGene00000268,2787.34622053374,-0.0542850394277747,0.0336988008447523,0.0733428400890689,0.266656706716171
WBGene00000269,566.031912021901,-0.0170192573651947,0.0558041821453998,0.665701439185579,0.857270198663444
WBGene00000270,567.823865495612,-0.0245984681541365,0.056321474911741,0.537148102226608,0.78536411156526
WBGene00000271,2605.21570781624,-0.0312729090027512,0.0341979929636919,0.307832494829643,0.603119021204793
WBGene00000273,7111.42291044921,0.0518006131976776,0.025581545550447,0.0309075172848694,0.150720457518842
WBGene00000274,2936.39275482469,-0.050077789342678,0.0337852256523067,0.0997146085710872,0.321026977027607
WBGene00000275,6619.34982801232,-0.00773878866848095,0.0239963393018654,0.734572482758523,0.894560557060339
WBGene00000276,3404.31744230374,0.0395882328298922,0.0303623112214476,0.150972591733527,0.409621472114512
WBGene00000277,2786.61968966654,0.0741767942269824,0.0351875363981725,0.0184192580961173,0.104867913460719
WBGene00000279,132.421236599001,0.0380980647882091,0.0795637407195855,0.264821125922523,0.560583982262673
WBGene00000280,43.9456197794767,-0.00987428105556991,0.0756082100788331,0.625042694542362,0.83510225002853
WBGene00000281,1263.25155318601,0.220844304850512,0.0519008848793797,2.20912004604228e-06,5.27712395340172e-05
WBGene00000282,2399.66263232423,0.203170122067688,0.0382519773529986,1.37064044751479e-08,4.95979730670783e-07
WBGene00000283,676.188862355747,0.0664438455101607,0.0610164158021475,0.132385361950893,0.379353998760029
WBGene00000284,92.8415291311158,0.00779815939120704,0.0724490255567638,0.77439861785323,0.914201674699227
WBGene00000285,253.817452305184,0.0341249313450643,0.0700107243124704,0.377789324743979,0.666911181122657
WBGene00000286,283.134620954374,-0.00117761747691352,0.0633461211188362,0.973938073200146,0.991492417426953
WBGene00000287,59.5480811890744,0.0352250846735467,0.0842965521863204,0.166366974572962,0.433012143009309
WBGene00000288,110.589694836938,-0.0103465250760845,0.0716602102170843,0.721699310783951,0.887172717450283
WBGene00000289,1725.74084110777,-0.0233405660302216,0.0390044511380214,0.473431041228354,0.74026409910055
WBGene00000292,3092.06903157049,0.0272429221480033,0.0335398180623509,0.359689736529329,0.652192694881988
WBGene00000293,3761.18038474937,0.0391843305958442,0.0294625500634653,0.14949034372688,0.407374309504971
WBGene00000294,2829.40783832207,-0.00330230891448643,0.031900550319181,0.910491330497364,0.969414395426054
WBGene00000295,63.450482486191,-0.000950090624818897,0.0732345258426065,0.957508217398464,0.985324836622288
WBGene00000296,47.9706064676234,-0.0162922077203438,0.0768154154970743,0.442490256687312,0.718310966871482
WBGene00000298,956.039554516873,0.101662749862504,0.0576362774216887,0.0230184622261563,0.123039310535758
WBGene00000301,150.202308374701,-0.0053418213177379,0.068589606663059,0.868719521542204,0.953482611619526
WBGene00000302,94.7685804322835,0.0226542313426911,0.0758456264353878,0.419921693124048,0.702398296809163
WBGene00000366,7850.60903455169,-0.0011221154570761,0.0235864006728815,0.962182901371575,0.987184214819518
WBGene00000367,582.882964236043,-0.0100518813719908,0.0551099960510184,0.795942778395779,0.924274007435631
WBGene00000368,632.08044265983,0.00208866377211657,0.0550185051453672,0.958116445925295,0.98549749360612
WBGene00000369,3355.09523367882,0.00155179596301067,0.0308336745628171,0.956486289028527,0.985135079410302
WBGene00000370,3102.01525650524,0.0116158163655584,0.0304589049146708,0.678558038770302,0.864949853442883
WBGene00000371,6584.26605324046,0.0474451951107637,0.0246162441903651,0.0414712412470189,0.185028718425134
WBGene00000373,202.096363382243,-0.0630117684593154,0.0890032196285408,0.134775370738597,0.383264646840937
WBGene00000374,261.312461265425,0.0253625584874216,0.0684168013807457,0.494066856675262,0.755872789434459
WBGene00000375,1118.42547566992,0.0112381985708843,0.044661845993623,0.759616010262525,0.907234592063092
WBGene00000376,8056.98005579962,0.0250504555789073,0.0215770791160747,0.221257945478767,0.505800864451067
WBGene00000377,12509.9186811695,0.0425302883404298,0.0204638020612126,0.0308065039584318,0.150516079277789
WBGene00000378,13019.3445121677,0.0649852706630986,0.0197445845122191,0.00066239956974166,0.00768798492857131
WBGene00000379,12212.547901981,0.0388358272129548,0.0192632428765998,0.037203030493387,0.170810767569672
WBGene00000380,19386.445721838,0.0571326392101205,0.0198071925994735,0.00323511786076792,0.0281109755862843
WBGene00000381,11037.8462674037,0.0719242368110202,0.0212856199679071,0.000451695506756089,0.00561812567846075
WBGene00000382,2281.44601060261,-0.009416046577843,0.0372972816084005,0.772215054346785,0.913369810060152
WBGene00000383,4541.99491431126,-0.0202512293869878,0.0293983715378399,0.456019607069292,0.728420318027054
WBGene00000386,6236.37289628947,0.0332271238078745,0.0243122372795391,0.150628693996724,0.409184584562124
WBGene00000387,749.509605507871,0.0239744609279191,0.0524350557417597,0.542357559942834,0.788399867780976
WBGene00000388,730.547783663878,0.0639701870403499,0.06007822124448,0.139411509490284,0.390337982058438
WBGene00000389,98.7074032750685,-0.0125794178237165,0.0728417003752664,0.651870335241986,0.850615100752802
WBGene00000390,5760.29818717131,-0.0479389026976837,0.0269610071922594,0.0570931060600949,0.22760346384549
WBGene00000391,226.145210039693,0.147414810432865,0.140374911092031,0.0230022807565676,0.123030127154152
WBGene00000392,553.129234876705,0.0467746805773833,0.0626397979179223,0.266700270795585,0.561903819119699
WBGene00000393,700.519265877753,0.0140342706932569,0.0532935652935928,0.719314841338208,0.88635169756452
WBGene00000395,120.691757122627,-0.0324563237867655,0.078094662755363,0.306585882471161,0.602393403505513
WBGene00000396,1251.75400227834,0.0211561928309451,0.0439494069881416,0.570642353085954,0.803700212704742
WBGene00000397,148.056112759767,-0.0216751829381899,0.0719053447305783,0.510168878905593,0.766538018948806
WBGene00000401,71.7082774833304,0.0175975926547554,0.0754614296939077,0.490597029021784,0.753402234202321
WBGene00000403,1923.8665495249,0.0363414966569527,0.0387103674803872,0.279872093266617,0.574947643780311
WBGene00000405,4520.71144661188,0.0593608146045019,0.0274365391557024,0.0203583392531746,0.112427274567614
WBGene00000406,127.09438454106,0.00578984461172736,0.0698923022547032,0.851644121306589,0.948028178690311
WBGene00000407,1305.40800271751,-0.116246491696651,0.0516725157551069,0.00631902720834555,0.0467914728472361
