,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,SNR,logq
WBGene00009394,12313.5174344143,-0.82550292839713,0.0217228291156349,-38.0016306348872,0,0,clec-63,-6.70403832856063e-05,Inf
WBGene00010051,1610.49353599598,1.69849746623632,0.0417791730101058,40.6541667501527,0,0,F54D5.5,0.00105464407541749,Inf
WBGene00010091,411.935389667119,-3.26935444946751,0.0861724296240011,-37.9396805188479,0,0,ssp-35,-0.00793657095621097,Inf
WBGene00010199,2359.9873451669,1.32620838273461,0.0286846458854101,46.2340859298933,0,0,bet-2,0.000561955717877301,Inf
WBGene00010234,1483.82738762843,2.98777434172492,0.051272066344635,58.2729457721095,0,0,ttr-50,0.00201355923649597,Inf
WBGene00010609,8082.33738483465,0.991310845546854,0.0220380932938559,44.981697478485,0,0,dut-1,0.000122651505170634,Inf
WBGene00010633,1035.30660752458,-3.40772708105228,0.0769506398000049,-44.284584116636,0,0,nspd-2,-0.00329151485780638,Inf
WBGene00010808,652.69623362384,6.33086117888663,0.151393469765896,41.8172672089239,0,0,sepa-1,0.00969955218484563,Inf
WBGene00011330,2950.31623413785,-1.09581210827328,0.0282880474214618,-38.7376368523018,0,0,T01D3.6,-0.000371421915926753,Inf
WBGene00011436,4935.41284410734,-1.64853552136723,0.0286245877399325,-57.591590011529,0,0,T04F3.1,-0.00033402180799029,Inf
WBGene00011460,2714.47201957656,-3.13705747000272,0.0619133646337861,-50.6685024882467,0,0,ttr-14,-0.00115567869087561,Inf
WBGene00011489,8372.4279640785,0.848437324879042,0.0167707304377398,50.5903620613787,0,0,T05F1.2,0.00010133707074211,Inf
WBGene00011501,7149.34638785717,1.05371075543058,0.0265083763487805,39.7501054597429,0,0,rmd-1,0.000147385606776622,Inf
WBGene00011509,1433.24585938803,2.12958095720219,0.0451131478940516,47.2053283048109,0,0,T05H10.4,0.00148584483482233,Inf
WBGene00011736,3188.65283872403,-1.00895780156145,0.0253052153687765,-39.8715358418321,0,0,T12D8.9,-0.000316421339227758,Inf
WBGene00011977,1242.12711913553,1.9395827477718,0.0444558529886334,43.6294124930573,0,0,T24B8.3,0.00156150100733786,Inf
WBGene00012020,7460.52857495539,0.818115542726388,0.0208800264562004,39.1817292206278,0,0,gyg-2,0.000109659192979001,Inf
WBGene00012207,792.732843213422,-3.79909320021593,0.0882340159400917,-43.0570133268716,0,0,W02B12.12,-0.0047924004066943,Inf
WBGene00012436,895.347306899576,2.01044027744919,0.0486682714351842,41.3090545064184,0,0,flh-3,0.00224543064122343,Inf
WBGene00012595,1383.49017925498,-3.2757118881397,0.0643594331934921,-50.8971525322714,0,0,Y38E10A.17,-0.00236771603966405,Inf
WBGene00012781,477.25728050727,-3.16671492178831,0.0836818718691372,-37.8423050423688,0,0,nspd-7,-0.00663523648800591,Inf
WBGene00013700,565.6438946154,-3.27787907364342,0.0844734001470692,-38.8036833836047,0,0,Y106G6D.3,-0.00579495174410422,Inf
WBGene00013723,448.304762709914,-3.46675802607183,0.0877865568463417,-39.4907620325047,0,0,Y106G6H.13,-0.00773303858097772,Inf
WBGene00013858,547.991439526287,-3.54944016725608,0.0825370363880996,-43.0042114738185,0,0,ssp-34,-0.00647718177919788,Inf
WBGene00013895,1107.92683247146,-2.3547820653421,0.0439581662195168,-53.568705609394,0,0,ZC434.9,-0.00212539492349803,Inf
WBGene00013956,898.709139166083,-3.61980840753202,0.0657956236184807,-55.0159449589181,0,0,ZK265.3,-0.00402778635464958,Inf
WBGene00013999,620.251819627471,-3.20614134815945,0.0707025315879561,-45.3469101622042,0,0,ZK550.5,-0.0051690962391454,Inf
WBGene00014116,536.430900855909,-3.39896406628357,0.0800897529587223,-42.4394375150011,0,0,ZK858.2,-0.00633625702930296,Inf
WBGene00014158,1185.15505456921,-3.37292701442373,0.0553468892254392,-60.941582474222,0,0,ZK938.1,-0.00284597952092416,Inf
WBGene00014199,558.363832697845,3.2436740996309,0.0694560252440637,46.70111899195,0,0,ZK1053.4,0.00580924821716773,Inf
WBGene00015094,487.872119308603,-3.72408083166629,0.0933672316235904,-39.8863794813999,0,0,B0261.6,-0.00763331349400318,Inf
WBGene00015780,2366.74473334743,-1.79416472997267,0.0309632173877698,-57.9450354755882,0,0,C14F11.4,-0.000758072767499128,Inf
WBGene00015907,409.977413458716,-3.5272352319884,0.0935960064218132,-37.6857450102311,0,0,C17F3.1,-0.00860348671950337,Inf
