,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00010790,2742.45031894051,-0.558616656843371,0.0270093521310002,-20.6823419582217,4.99557987783453e-95,6.47527063764911e-91,sodh-1,90.1887420752805
WBGene00001564,30706.427407213,-0.326480636763969,0.0232454042555121,-14.0449541412708,8.27219164730213e-45,5.36120740661651e-41,icl-1,40.2707373910947
WBGene00014000,1441.70379009851,-0.434117031618177,0.0324056128271891,-13.3963530926946,6.35079641281326e-41,2.74396743676285e-37,ZK550.6,36.5616210467984
WBGene00000712,12118.4778825775,-0.272455808641886,0.0204337493302668,-13.3336180374064,1.47563896059033e-40,4.78180805179296e-37,col-139,36.320407861035
WBGene00006053,990.230440940141,-0.52878351273742,0.0408755198255037,-12.9364351816143,2.8033863649917e-38,7.26749881260448e-35,ssq-4,34.1386150305145
WBGene00006603,5500.19187559778,-0.296830331862363,0.024816906945188,-11.9608109309496,5.70025103422449e-33,1.2314442317603e-29,tps-2,28.909585251212
WBGene00007308,795.826179968641,-0.545433069226129,0.0465488691977833,-11.7174289864834,1.03773741592077e-31,1.92159319788073e-28,C04G2.9,27.7163385472684
WBGene00009895,722.424047654515,-0.522988030510755,0.0485953047913491,-10.762110305847,5.19663028543773e-27,8.41984021998047e-24,scl-2,23.0746961498589
WBGene00006050,704.51349113809,-0.546927187231567,0.0528846296742988,-10.3418931095847,4.55450032373219e-25,6.55949257735741e-22,ssq-1,21.1831297550416
WBGene00009681,809.914805796805,-0.483572334544809,0.0472599814626117,-10.2321735976002,1.42289317326155e-24,1.84435413118162e-21,gipc-2,20.7341556871588
WBGene00013290,268.507545917115,-0.841085884754986,0.0828780703971689,-10.148473302097,3.36587513062878e-24,3.96622485847365e-21,Y57G11A.2,20.4016226678347
WBGene00003467,478.912230545204,-0.58842476247695,0.0580620979944202,-10.1344040742981,3.8873658063843e-24,4.19900296519611e-21,msp-81,20.3768538186776
WBGene00003463,571.328007043086,-0.560746282400488,0.0560266666380313,-10.0085604953668,1.39771420758066e-23,1.35187519313177e-20,msp-76,19.8690634011726
WBGene00020350,905.250912951659,-0.463889591482356,0.0463693140000296,-10.0042366700111,1.46013367565536e-23,1.35187519313177e-20,T08B2.12,19.8690634011726
WBGene00006051,795.704526003501,-0.471740114269415,0.0472637906333198,-9.98100465384277,1.84588205147195e-23,1.59508821007863e-20,ssq-2,19.7972152949948
WBGene00017542,321.154610548364,-0.715531503061268,0.0721060431292901,-9.92332226271633,3.29598899502243e-23,2.67016308459255e-20,F17E9.5,19.5734622125771
WBGene00006056,537.485102870766,-0.497990403437517,0.0502350970251319,-9.91319680717207,3.64783662485339e-23,2.78136813713822e-20,sss-1,19.5557415248552
WBGene00007331,1510.72246378804,-0.35584217907467,0.0361437389069532,-9.84519559503053,7.18992380575753e-23,4.9804725420059e-20,pho-11,19.3027294498809
WBGene00003449,870.3049626273,-0.491527077369685,0.0499333614929383,-9.84366088470126,7.30049207669434e-23,4.9804725420059e-20,msp-56,19.3027294498809
WBGene00006650,4179.06758545692,-0.405830540149017,0.041368549957482,-9.81012243760353,1.01844911493404e-22,6.6005687138875e-20,tts-1,19.1804186434487
WBGene00003446,1260.56454870067,-0.585262086437482,0.0597042966563951,-9.80267952582592,1.09637922324162e-22,6.76727023412281e-20,msp-53,19.1695864806992
WBGene00017012,2218.32136545282,-0.30145320856001,0.0312514497261611,-9.64605518148678,5.1083096947631e-22,3.00972319379633e-19,acs-22,18.5214734449161
WBGene00022751,417.536664108754,-0.601836643507386,0.0627288517763593,-9.59425569677334,8.45249458749729e-22,4.76353194970174e-19,msrp-2,18.3220709175604
WBGene00000657,7535.50213442135,-0.250442131356931,0.0262269875616808,-9.54902391164594,1.30923964655526e-21,7.0709851244372e-19,col-81,18.1505200764007
WBGene00013474,414.455238724,-0.560941181957357,0.059346288898652,-9.45200099900599,3.32414240392257e-21,1.72350135358577e-18,Y69E1A.2,17.7635883711742
WBGene00020990,273.15681480649,-0.69758337932257,0.075961511458032,-9.18337939744627,4.17770324736882e-20,2.08274574970749e-17,W03D8.9,16.6813637431288
WBGene00000781,8696.59057749212,-0.157389643404874,0.0173315507476169,-9.08110564927463,1.07477437106758e-19,5.15971311028813e-17,cpr-1,16.287374445288
WBGene00012531,1952.05624959754,-0.381575237435739,0.0421279566453874,-9.05753014910392,1.33437666145957e-19,6.17721081637106e-17,Y32F6B.1,16.2092075767707
WBGene00001591,1032.92531275492,-0.401665837886783,0.0443721966375884,-9.05219638250961,1.40121017818745e-19,6.26292632057439e-17,glc-1,16.2032226974726
WBGene00003432,524.171577884671,-0.476880183683189,0.0527060146758976,-9.04792719798005,1.45707866513641e-19,6.29555121916605e-17,msp-36,16.2009662383978
WBGene00004000,305.421838864396,-0.743836686348513,0.08319140506341,-8.94126846134581,3.84728480764861e-19,1.60866147344327e-16,pgp-6,15.7935353391725
WBGene00012144,3961.39826346328,-0.253909434894817,0.0289961605758147,-8.75665708330365,2.01126366104385e-18,8.14687486701576e-16,T28H10.3,15.0890089542407
WBGene00003464,798.071634169728,-0.465758932590503,0.053816625948544,-8.65455469162692,4.94839854401638e-18,1.94367096750122e-15,msp-77,14.7113772523177
WBGene00019730,2706.72740656057,-0.274966214395706,0.0320050108136582,-8.59134889835325,8.59541918607968e-18,3.27687716146956e-15,asns-2,14.484539838476
WBGene00009884,558.588835339571,-0.428023038622142,0.0500915052457692,-8.5448228501437,1.2873359118214e-17,4.76755659686544e-15,F49C12.15,14.3217041426322
WBGene00013924,15385.4435983455,0.119774103319211,0.0140526083271571,8.52326490077601,1.55117461544766e-17,5.58509037928681e-15,rad-23,14.2529697946329
WBGene00003470,657.448887301853,-0.446678499886305,0.053118292822559,-8.4091275557072,4.13071700044062e-17,1.44709064215436e-14,msp-152,13.8395042649041
WBGene00011176,789.767884740095,-0.396890036122306,0.0476273377823365,-8.33323999624225,7.86594832649265e-17,2.68311637389468e-14,R09E10.6,13.5713604904126
WBGene00000707,343.406251571267,-0.635638491969923,0.0764533730267323,-8.31406734334231,9.24766305399477e-17,3.07354380784308e-14,col-133,13.5123605924117
WBGene00016716,2597.01459567589,-0.236027192172489,0.0284469272762435,-8.29710674479767,1.06677519724914e-16,3.45688502668584e-14,acs-17,13.4613150645149
WBGene00016440,574.330796086818,-0.446065198269083,0.0542018918982836,-8.22969794313043,1.87686111243291e-16,5.93362774130619e-14,gipc-1,13.226679703548
WBGene00021398,402.260822619972,-0.534790442936143,0.065018816090409,-8.22516426925574,1.94923521725097e-16,6.015711163335e-14,Y38C1AA.7,13.220713024009
WBGene00021048,3378.93472866276,-0.213558097068414,0.0260245765136819,-8.20601622301673,2.28648535638955e-16,6.8924239975631e-14,W05H9.1,13.1616280141407
WBGene00022002,510.723570125034,-0.531868720520824,0.0653252998897677,-8.14184889190434,3.89286914736026e-16,1.14680386109281e-13,Y59E9AR.7,12.9405108535277
WBGene00003452,589.214072987799,-0.541088408864244,0.0671498526093957,-8.0579239989059,7.76010388476037e-16,2.23525481231698e-13,msp-59,12.6506729614469
